瘤痢,瘤痢疙,老矫,老碍荐樊(mm)
143,措备,2020-08-30,28.8
143,措备,2020-09-01,0
143,措备,2020-09-02,44.7
143,措备,2020-09-03,44.8
143,措备,2020-09-05,4
143,措备,2020-09-06,18.3
143,措备,2020-09-07,34.4
143,措备,2020-09-08,0
143,措备,2020-09-09,1.2
143,措备,2020-09-10,1.6
143,措备,2020-09-11,3.3
143,措备,2020-09-12,3.8
143,措备,2020-09-16,1.3
143,措备,2020-09-17,1.7
143,措备,2020-09-18,1.9
143,措备,2020-09-24,0
143,措备,2020-09-26,0
143,措备,2020-10-03,1
143,措备,2020-10-04,.1
143,措备,2020-10-21,12
143,措备,2020-11-01,3.1
143,措备,2020-11-17,.4
143,措备,2020-11-18,0
143,措备,2020-11-19,19
143,措备,2020-11-22,1.4
143,措备,2020-11-27,0
143,措备,2020-12-13,0
143,措备,2020-12-27,1.3
143,措备,2020-12-29,1.3
143,措备,2020-12-30,.2
143,措备,2021-01-01,0
143,措备,2021-01-02,0
143,措备,2021-01-07,.2
143,措备,2021-01-18,0
143,措备,2021-01-21,1
143,措备,2021-01-22,.3
143,措备,2021-01-23,.1
143,措备,2021-01-24,0
143,措备,2021-01-26,10.3
143,措备,2021-01-28,0
143,措备,2021-02-01,9.5
143,措备,2021-02-04,0
143,措备,2021-02-14,4.3
143,措备,2021-02-15,1.2
143,措备,2021-02-16,0
143,措备,2021-02-18,0
143,措备,2021-02-25,3.1
143,措备,2021-02-28,1.1
143,措备,2021-03-01,35.5
143,措备,2021-03-02,9.6
143,措备,2021-03-04,.9
143,措备,2021-03-12,19.5
143,措备,2021-03-20,5.3
143,措备,2021-03-27,18.4
143,措备,2021-03-28,6
143,措备,2021-04-03,16.2
143,措备,2021-04-04,19.3
143,措备,2021-04-12,7.4
143,措备,2021-04-13,0
143,措备,2021-04-23,0
143,措备,2021-04-29,0
143,措备,2021-04-30,.1
143,措备,2021-05-01,3.7
143,措备,2021-05-02,.5
143,措备,2021-05-04,8.9
143,措备,2021-05-05,1.2
143,措备,2021-05-10,1.8
143,措备,2021-05-11,1.3
143,措备,2021-05-15,8.7
143,措备,2021-05-16,24.7
143,措备,2021-05-17,11.4
143,措备,2021-05-18,.1
143,措备,2021-05-20,12.2
143,措备,2021-05-21,0
143,措备,2021-05-24,.7
143,措备,2021-05-25,0
143,措备,2021-05-28,13.8
143,措备,2021-05-31,1.9
143,措备,2021-06-03,17.5
143,措备,2021-06-04,3.8
143,措备,2021-06-06,.2
143,措备,2021-06-10,0
143,措备,2021-06-11,5.5
143,措备,2021-06-13,.1
143,措备,2021-06-15,3
143,措备,2021-06-16,.5
143,措备,2021-06-17,.1
143,措备,2021-06-18,3
143,措备,2021-06-22,3.5
143,措备,2021-06-23,.2
143,措备,2021-06-25,14.7
143,措备,2021-06-26,2
143,措备,2021-06-29,1
143,措备,2021-06-30,0
143,措备,2021-07-03,22.1
143,措备,2021-07-04,4.6
143,措备,2021-07-05,16.8
143,措备,2021-07-06,18.2
143,措备,2021-07-07,39.7
143,措备,2021-07-08,14.9
143,措备,2021-07-09,15.7
143,措备,2021-07-10,2.6
143,措备,2021-07-11,3.5
143,措备,2021-07-12,5.4
143,措备,2021-07-15,3.6
143,措备,2021-07-17,0
143,措备,2021-07-18,.3
143,措备,2021-07-19,.5
143,措备,2021-07-20,0
143,措备,2021-07-29,0
143,措备,2021-07-31,5.4
143,措备,2021-08-01,26.2
143,措备,2021-08-02,0
143,措备,2021-08-03,0
143,措备,2021-08-07,13.2
143,措备,2021-08-08,1.2
143,措备,2021-08-09,.3
143,措备,2021-08-10,13.6
143,措备,2021-08-11,8.9
143,措备,2021-08-12,0
143,措备,2021-08-13,0
143,措备,2021-08-14,13.6
143,措备,2021-08-15,.8
143,措备,2021-08-16,0
143,措备,2021-08-17,.2
143,措备,2021-08-18,1.3
143,措备,2021-08-19,1
143,措备,2021-08-21,30.9
143,措备,2021-08-23,26.3
143,措备,2021-08-24,69
143,措备,2021-08-25,7.7
143,措备,2021-08-26,6
143,措备,2021-08-27,13.7
143,措备,2021-08-29,7
143,措备,2021-08-30,.2
143,措备,2021-08-31,15.2
143,措备,2021-09-01,40.7
143,措备,2021-09-02,1.2
143,措备,2021-09-03,3.8
143,措备,2021-09-05,.4
143,措备,2021-09-06,4.8
143,措备,2021-09-07,0
143,措备,2021-09-16,0
143,措备,2021-09-17,4.1
143,措备,2021-09-21,9
143,措备,2021-09-25,1.2
143,措备,2021-09-29,11.3
143,措备,2021-09-30,7.6
143,措备,2021-10-08,0
143,措备,2021-10-10,.2
143,措备,2021-10-11,23.1
143,措备,2021-10-12,10.6
143,措备,2021-10-13,.6
143,措备,2021-10-15,10.5
143,措备,2021-10-16,12.8
143,措备,2021-10-22,0
143,措备,2021-11-08,26.8
143,措备,2021-11-09,0
143,措备,2021-11-10,.4
143,措备,2021-11-11,0
143,措备,2021-11-22,.4
143,措备,2021-11-30,15.5
143,措备,2021-12-03,0
143,措备,2021-12-16,.1
143,措备,2021-12-19,0
143,措备,2021-12-30,0
